timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600074181570,2712,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-130,text,false,,3810,123,1000,1000,https://www.firstbench.app/,911,0,525
1600074181570,911,Landing page-0,301,Moved Permanently,JMeter Users 1-130,text,true,,428,123,1000,1000,http://www.firstbench.app/,911,0,525
1600074182482,1800,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-130,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1800
1600074181649,2634,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-220,text,false,,3810,123,1000,1000,https://www.firstbench.app/,766,0,425
1600074181649,766,Landing page-0,301,Moved Permanently,JMeter Users 1-220,text,true,,428,123,1000,1000,http://www.firstbench.app/,766,0,425
1600074182415,1868,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-220,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1868
1600074181559,2725,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-112,text,false,,3810,123,1000,1000,https://www.firstbench.app/,781,0,468
1600074181559,781,Landing page-0,301,Moved Permanently,JMeter Users 1-112,text,true,,428,123,1000,1000,http://www.firstbench.app/,781,0,468
1600074182341,1943,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-112,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1943
1600074184284,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-220,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074184285,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-112,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181605,2684,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-175,text,false,,3810,123,1000,1000,https://www.firstbench.app/,726,0,417
1600074181605,726,Landing page-0,301,Moved Permanently,JMeter Users 1-175,text,true,,428,123,1000,1000,http://www.firstbench.app/,726,0,417
1600074182331,1958,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-175,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1958
1600074184290,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-175,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181708,2583,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-275,text,false,,3810,123,1000,1000,https://www.firstbench.app/,758,0,380
1600074181708,758,Landing page-0,301,Moved Permanently,JMeter Users 1-275,text,true,,428,123,1000,1000,http://www.firstbench.app/,758,0,380
1600074182470,1821,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-275,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1821
1600074184292,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-275,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181634,2660,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-216,text,false,,3810,123,1000,1000,https://www.firstbench.app/,731,0,409
1600074181634,731,Landing page-0,301,Moved Permanently,JMeter Users 1-216,text,true,,428,123,1000,1000,http://www.firstbench.app/,731,0,409
1600074182366,1928,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-216,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1928
1600074184295,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-216,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181558,2741,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-85,text,false,,3810,123,1000,1000,https://www.firstbench.app/,834,0,502
1600074181558,834,Landing page-0,301,Moved Permanently,JMeter Users 1-85,text,true,,428,123,1000,1000,http://www.firstbench.app/,834,0,502
1600074182392,1907,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-85,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1907
1600074184300,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-85,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181619,2687,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-199,text,false,,3810,123,1000,1000,https://www.firstbench.app/,735,0,410
1600074181619,735,Landing page-0,301,Moved Permanently,JMeter Users 1-199,text,true,,428,123,1000,1000,http://www.firstbench.app/,735,0,410
1600074182354,1952,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-199,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1952
1600074184307,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-199,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181639,2671,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-221,text,false,,3810,123,1000,1000,https://www.firstbench.app/,721,0,404
1600074181639,721,Landing page-0,301,Moved Permanently,JMeter Users 1-221,text,true,,428,123,1000,1000,http://www.firstbench.app/,721,0,404
1600074182360,1950,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-221,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1950
1600074184311,1,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-221,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181638,2682,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-219,text,false,,3810,123,1000,1000,https://www.firstbench.app/,729,0,411
1600074181638,729,Landing page-0,301,Moved Permanently,JMeter Users 1-219,text,true,,428,123,1000,1000,http://www.firstbench.app/,729,0,411
1600074182367,1953,Landing page-1,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-219,text,false,,3382,0,1000,1000,https://www.firstbench.app/,0,0,1953
1600074184321,0,Course Selection,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.firstbench.app:80 failed to respond,JMeter Users 1-219,text,false,,2087,0,1000,1000,http://www.firstbench.app/#courses-section,0,0,0
1600074181658,2664,Landing page,Non HTTP response code: javax.net.ssl.SSLHandshakeException,Non HTTP response message: Remote host terminated the handshake,JMeter Users 1-246,text,false,,3810,123,1000,1000,https://www.firstbench.app/,826,0,450
1600074181658,826,Landing page-0,301,Moved Permanently,JMeter Users 1-246,text,true,,428,123,1000,1000,http://www.firstbench.app/,826,0,450
